"","RX_ProgID","ItemMeta1","ServiceType","ProgName","ProgDescription","ProgCounts"
"262",262,"Highway","Community","Adopt a Highway Program","Track and provide supplies for assigned to different road segments",2
"263",263,"Highway","Community","Anti Icing Road Treatment","Apply liquid anti icing chemicals prior to the start of a storm or icing event  including frost and black ice prevention",2
"264",264,"Highway","Community","Asphalt Chip Seal Coating","Place asphalt materials and cover aggregate to seal surface of pavement",2
"265",265,"Highway","Community","Asphalt Inspection","Inspect construction of asphalt projects",2
"266",266,"Highway","Community","Asphalt Milling Bump Removal","Mill pavement to provide a smoother driving surface and or to drain wheel ruts",2
"267",267,"Highway","Community","Asphalt Paving   Intersections","Paving intersections and driveway connections",2
"268",268,"Highway","Community","Asphalt Spot Repair Pothole Repair","Minor repairs of pavement distress  Fill depressions in the pavement surface with asphalt materials",2
"269",269,"Highway","Community","Bridge and Culvert Design","Ensure that all bridges and culverts being constructed meet requirements",2
"270",270,"Highway","Community","Bridge Inspection and Repair and Maintenance","Perform bridge inspections and make necessary stabilizations and repairs",4
"271",271,"Highway","Community","Certification of Mileage Map Review","Compile inventory of certified road mileage and classifications",2
"272",272,"Highway","Community","Concrete   Non Emergency and Emergency Repair","Scheduled or non scheduled repair for removal and replacement of concrete pavement",2
"273",273,"Highway","Community","Concrete Pouring","Pour concrete slabs for buildings and sidewalks",2
"274",274,"Highway","Community","Construction Planning & Project Management","Design through construction project phases",2
"275",275,"Highway","Community","County Property and ROW Research","Review title reports and right of way information",2
"276",276,"Highway","Community","County Road Snow Plowing","Plow county roads  sand  cut pack  make snow guards  haul snow",3
"277",277,"Highway","Community","Damage Claims","Determine costs associated with damage to roadway assets and invoice responsible parties",2
"278",278,"Highway","Community","Distressed Pavement Repair","Cold mill  thin resurfacing  crack filling  mud jacking  and diamond grinding",2
"279",279,"Highway","Community","Drainage Maintenance","Repair and improve drainage  inspect and maintain ditches and culverts",4
"280",280,"Highway","Community","Dust Control","Apply dust suppressant and blade roads",2
"281",281,"Highway","Community","Emergency Backup Generator Program","Maintain  operate and test all emergency generators",1
"282",282,"Highway","Community","Fallen Tree Removal","Remove any trees that have fallen onto the highway",2
"283",283,"Highway","Community","Fire Ban Signage","Put up fire ban signs when needed",2
"284",284,"Highway","Community","Gravel Road Maintenance","Hauling and placing new gravel on roads",4
"285",285,"Highway","Community","Debris Removal","Remove objects from roadways which may impact safe travel",2
"286",286,"Highway","Community","Non Paved Road Maintenance","Grade unpaved roads",2
"287",287,"Highway","Community","Pavement Management","Process of planning the maintenance and repair of the roadway network",2
"288",288,"Highway","Community","Pavement Marking","Mark pavement with directional signs",2
"289",289,"Highway","Community","Pavement Sweeping","Remove and dispose of debris from asphalt  pavement  and shoulders with a sweeper",2
"290",290,"Highway","Community","Permanent Traffic Sign Placement","Installation of new traffic signs and scheduled replacement of traffic signs",2
"291",291,"Highway","Community","Right Of Way Property Acquisition Management and Dedication Acceptances","Compile pertinent information needed for right of way acquisition and conduct acquisition as necessary",2
"292",292,"Highway","Community","Right of Way Trees","Remove trees and brush  from public right of way",3
"293",293,"Highway","Community","Sign Repair and Replacement","Repair or replace damaged signs",2
"294",294,"Highway","Community","Street Lighting Maintenance & Management","Management of street lighting system  including the replacement of lights and poles",2
"295",295,"Highway","Community","Traffic Control","Placement and removal of signs  cones  impact attenuators  arrow boards and other devices",2
"296",296,"Highway","Community","Traffic Studies","Collect data on traffic patterns and speeds in order to determine speed limits and other signage requirements",2
"297",297,"Highway","Community","Urban Mowing","Control of vegetation by mechanical means along urban state trunk  highways  and urban controlled access highway interchanges and access roads",2
"298",298,"Highway","Community","Waterway Slope Repair","Maintain and repair abutment slopes and the natural waterway embankments",2
"299",299,"Highway","Community","Woody Vegetation Maintenance","Cutting and disposing of unwanted woody vegetation",1
"300",300,"Human Resources","Governance","Building Access Security and Badge Management","Provide badges for new and existing employees for appropriate building access  and track utilization",3
"301",301,"Human Resources","Governance","Classification and Compensation Management","Monitor and maintain city classification  review reclassification requests  temporary duty assignments  new position requests  and management of compensation structure",5
"302",302,"Human Resources","Governance","Confidential Personnel and Medical Records Maintenance","Maintain separate confidential personnel records  and ensure statutory guidelines",6
"303",303,"Human Resources","Governance","Review  approve  and enter personnel transaction actions in HRIS Payroll","Process employee transactions  new hire  promotions  change in pay  changes in status  separation entries  etc    and provide payroll support",4
"304",304,"Human Resources","Governance","Driving Record Monitoring","Maintain and monitor employee driving records for city insurability standards  via state and driving databases",3
"305",305,"Human Resources","Governance","Employee Benefits Administration","Administration and management of employee benefits such as health  dental  vision  retirement  employee assistance programs",10
"306",306,"Human Resources","Governance","Employee Communication","Provide communication to employees of training initiatives or opportunities",4
"307",307,"Human Resources","Governance","Employee Development Training","Develop  communicate  and train all employees on various topics",7
"308",308,"Human Resources","Governance","Employee Grievance Investigations and Response","Formally respond to Equal Employment Opportunity Claims  grievances  and assist with litigation cases relating to employment",5
"309",309,"Human Resources","Governance","Employee Off Boarding and  Exit Interviews","Conduct meetings with separating employees to identify and analyze reasons for turnover  overall trends  and to mitigate future risks",5
"310",310,"Human Resources","Governance","Employee Performance Evaluation Coordination and Support","Track and document the performance of employees throughout the employment relationship",3
"311",311,"Human Resources","Governance","Federal Law Compliance","Manage risk through compliance with state and federal laws",4
"312",312,"Human Resources","Governance","Labor Relations Negotiations","Serve as city employment representative on subject matter expert in union relation issues  and negotiate bargaining unit contracts",2
"313",313,"Human Resources","Governance","New Employee On Boarding and Orientation","Provide resources for new employees  and provide comprehensive introduction to city",6
"314",314,"Human Resources","Governance","Pre and Post Employment Screening","Conduct background checks  drug testing  physicals  driver s license history checks  and  finalize post offer employment process",5
"315",315,"Human Resources","Governance","Unemployment Claims Response and Hearings","Respond to separated employee s unemployment claims and attend hearings and appeals",7
"316",316,"Human Resources","Governance","Workers Comp Administration","Analyze  review and disburse workers compensation funds",6
"317",317,"Human Resources","Governance","Hiring & Applicant Tracking System","Post vacant positions  Review and evaluate applications",5
"318",318,"Human Resources","Governance","Employee Relations Conflict Resolution","Provide consultation and coaching to improve employee performance  and provide strategies with employment disputes",6
"319",319,"Human Resources","Governance","Employment Policy and Procedure Administration","Review  research and maintain accurate employment policies",6
"320",320,"Information Technology","Governance","Audio Visual Administration and Support","Administration and support of audio and visual resources",4
"321",321,"Information Technology","Governance","Backup  Business Continuity and Disaster Recovery","Implementation of policy  best practices and procedures to ensure business continuity and disaster recovery",6
"322",322,"Information Technology","Governance","Cellular Phone Support and Integration Services","Cellular support and integration",5
"323",323,"Information Technology","Governance","Cloud Web Administration and Support","Support of all cloud and web resources and applications",4
"324",324,"Information Technology","Governance","Desktop and Mobile Resource Administration and Support","Support and inventory of all desktop and mobile resources",7
"325",325,"Information Technology","Governance","End User Hardware and Software Training","User technology resource and policy training",7
"326",326,"Information Technology","Governance","Enterprise Applications Administration and Support","Support and maintenance of all city applications",8
"327",327,"Information Technology","Governance","Local Area Network  LAN  Administration and Support","Support and maintenance of all LAN infrastructure and hardware and software",6
"328",328,"Information Technology","Governance","Mobile Network Administration and Support","Support of all mobile infrastructure",7
"329",329,"Information Technology","Governance","Security Surveillance Camera Support","Support of surveillance camera technologies",5
"330",330,"Information Technology","Governance","Server Administration and Support","Support and maintenance of all server infrastructure",6
"331",331,"Information Technology","Governance","Software Licensing and Compliance","Licensing inventory  upgrade and compliance assurance",6
"332",332,"Information Technology","Governance","Technology Procurement and Sourcing","Oversight and direction to all technology purchases and initiatives",6
"333",333,"Information Technology","Governance","Technology Security Management and Policy Compliance","Development  enforcement  and communication of security policies",7
"334",334,"Information Technology","Governance","Phone System Administration and Support","Support and maintenance of phone system",3
"335",335,"Information Technology","Governance","Wide Area Network  WAN  Administration and Support","Support and maintenance of all WAN infrastructure",3
"336",336,"Information Technology","Governance","Wireless Network Administration and Support","Support and maintenance of all  wireless infrastructure",7
"337",337,"Jail","Community","Adjudicated Secure Detention","Youth convicted of a crime and awaiting sentencing or placement",2
"338",338,"Jail","Community","Alcohol and Drug Education Program","Drug and alcohol education program for offenders with minimal drug and alcohol histories",3
"339",339,"Jail","Community","Anger Management","Cognitive behavioral group education program that addresses issues leading to violent behavior",3
"340",340,"Jail","Community","Building Repair & Maintenance   Jail","Maintain and repair the jail",3
"341",341,"Jail","Community","Building Security Camera Monitoring","Monitor cameras",3
"342",342,"Jail","Community","Chaplain and Religious Services","Jail  Chaplain who oversees the religious needs of the facility",3
"343",343,"Jail","Community","Commissary Services","Assist and deliver commissary products as well and monetary control of funds",3
"344",344,"Jail","Community","Community Service Program","Provides individual and supervised work crews  documents and reports hours to the courts to satisfy fines   jail  time  as a sentence and as an alternative to formal court processing",3
"345",345,"Jail","Community","County Transports","Transporting inmates to and from other county and municipal  jails  juvenile detention centers for court  medical  dental  etc",3
"346",346,"Jail","Community","Detoxification","Individuals who have not committed a crime and are detoxing  and inmates who have to detox before being placed in population",4
"347",347,"Jail","Community","Domestic Violence Assessment","Assesses offender  s needs in the areas of truthfulness  alcohol  control  drugs  violence and stress coping skills",1
"348",348,"Jail","Community","Driving Under the Influence Evaluation","Includes a factual basis of the circumstances  the offender  s case information",2
"349",349,"Jail","Community","Electronic Monitoring Activation","Hook up clients on electronic monitoring sentence",2
"350",350,"Jail","Community","Extradition","Handle in coming and  out going extraditions from out of state  setting up travel plans  etc",4
"351",351,"Jail","Community","Fingerprint Services","Manage all fingerprint service for employment  compliance  volunteers  and other licenses",3
"352",352,"Jail","Community","Food Service Management","Preparation of all menus and food",3
"353",353,"Jail","Community","Housing of Inmates","The housing and security of arrested offenders",4
"354",354,"Jail","Community","Inmate Activities","Provide a variety of programs to engage and assist interested inmates",4
"355",355,"Jail","Community","Inmate Cell Cleaning","Daily cleaning of cells",3
"356",356,"Jail","Community","Inmate Cell Movement","Move inmates from cell to cell for medical issues  security measures  special needs or other needed movements",3
"357",357,"Jail","Community","Inmate Medical Services","Oversee inmate doctor and nurse visits",4
"358",358,"Jail","Community","Jail Records Management","Maintain inmate  jail  files indefinitely",3
"359",359,"Jail","Community","Jail Security","Maintain  jail  security by completing cell checks  random prisoner counts  monitoring cell areas on surveillance equipment  etc",3
"360",360,"Jail","Community","Key Control","Use of automated key retrieval system for deputies to have keys necessary to do their job",4
"361",361,"Jail","Community","Outpatient Substance Abuse","This program is a variable length substance abuse treatment program",3
"362",362,"Jail","Community","Prisoner Intake","Properly record and complete the prisoner booking process  Orientate new prisoners to the  jail  Distribute clothing  bedding  and personal items to new prisoners",3
"363",363,"Jail","Community","Prisoner Release","Properly record and complete prisoner release procedures  Obtain all  jail  issued property from prisoner and return all personal property to prisoner",3
"364",364,"Legal","Community","Land Acquisition Assistance","Drafting or reviewing contracts and deeds for negotiated purchases",4
"365",365,"Legal","Community","Misdemeanor Prosecutions","Prosecution of violations of city ordinance",3
"366",366,"Legal","Community","Vehicle Seizures Enforcement","Enforce civil seizure ordinance",1
"367",367,"Legal","Governance","Risk Management Insurance Coverage","Evaluate & coordinate insurance & self insurance",3
"368",368,"Legal","Governance","City Officials and Departments Legal Advisement","Advise city officials and management staff on matters with legal consequence",8
"369",369,"Legal","Governance","Contract Claims Counsel","Negotiate  mediate and litigate when required  in house and or with outside counsel  contract claims by or against city",5
"370",370,"Legal","Governance","Contract Preparation and Review","Draft  negotiate and or review and approve all city contracts  deeds  easements  leases  insurance requirements etc",4
"371",371,"Legal","Governance","Employment Representation","Represent City in employment matters  collective bargaining and employee claims   in house or with outside counsel",4
"372",372,"Legal","Governance","Insurance   Subrogation Pursuit","Pursue claims for damage to city property",4
"373",373,"Legal","Governance","Law Library Maintenance","Maintaining law library with periodic updates supplements  and LEXIS online research service",3
"374",374,"Legal","Governance","Ordinance and Policy Preparation and Review","Assist departments in drafting new ordinances and administrative policies  as well as revising and amending existing ordinances and policies",5
"375",375,"Legal","Governance","Risk Management   Safety Program & Claim Mitigation","Consult with other departments on risk management issues   review insurance requirements in contracts  identify hazards  loss exposures and controls",4
"376",376,"Library","Community","Collection Development and Maintenance","Acquire  develop  and manage library collections",4
"377",377,"Library","Community","Adult Programs","Provide a variety of life long learning programs to adults",6
"378",378,"Library","Community","Children s Programs","Provide enriching programs for children",6
"379",379,"Library","Community","Family Programs","Provide enriching and life long learning programs to families",2
"380",380,"Library","Community","Teen Programs","Provide enriching programs for teens",3
"381",381,"Library","Community","Reference Services","Provide information to customers of all ages",4
"382",382,"Library","Community","Technology Services and Support","Provides and supports technology services for the public and library staff",5
"383",383,"Library","Community","Circulation Services","Provides circulation of library items",5
"384",384,"Mayor OR Commission","Community","Community Marketing and Promotion","Promote and market the city to large and small businesses to achieve growth in products and services",4
"385",385,"Mayor OR Commission","Community","Community Recognition Events","Attend ribbon cuttings and ground breaking events",4
"386",386,"Mayor OR Commission","Governance","Boards and Commissions Appointments","Appoint all members of boards  commissions and authorities",4
"387",387,"Mayor OR Commission","Governance","Budget Review","Review and make comments to the recommended budget",3
"388",388,"Mayor OR Commission","Community","Citizen Constituent Inquiries and Assistance","Listen to and build relationships with citizens to address the needs of the community",5
"389",389,"Mayor OR Commission","Community","Legislative Development  Review and Enactment","Draft and approve laws and ordinances",5
"390",390,"Mayor OR Commission","Governance","Meritorious Service Awards and Citizen Commendations","Present proclamations and certificates of recognition",3
"391",391,"Mayor OR Commission","Community","Council Meetings and Work Sessions","Preside at meetings of the governing body",4
"392",392,"Mayor OR Commission","Community","City Operations Oversight and Management","Chief executive officer of the city",3
"393",393,"Mayor OR Commission","Community","Regional and Intergovernmental Affairs","Represent the city in intergovernmental relationships on regional  state  and national boards and committees as necessary",4
"394",394,"Mayor OR Commission","Governance","Informal Informational Meetings","Attend town hall meetings",3
"395",395,"Mayor OR Commission","Community","Ceremonial Events","Management  coordination and liaison with department directors and staff in organizing city grand openings  ground breaking and ceremonial events",4
"396",396,"Mayor OR Commission","Community","Community Outreach and Involvement","Serve as point of contact for public and coordinate public  facing events",4
"397",397,"Mayor OR Commission","Community","Community Committees","Sit on various community committees to represent the county",2
"398",398,"Mayor OR Commission","Community","Economic Development   Business Recruitment","Attend necessary meetings regarding economic development prospects",3
"399",399,"Mayor OR Commission","Community","Community Event Representation","Attend community events to represent the county",2
"400",400,"Mayor OR Commission","Governance","Goal Setting and Strategic Planning","Meet to discuss direction priorities for the city county",5
"401",401,"Motor Vehicle","Community","City Vehicle Title Issuance and Transfer","Process vehicle title requests",2
"402",402,"Motor Vehicle","Community","Commercial and Non Commercial Driver s Exams","Facilitate commercial and non commercial driver s exams",2
"403",403,"Motor Vehicle","Community","Driver s License Issuance","Process driver s license applications",2
"404",404,"Motor Vehicle","Community","Graduated Driver s License Program","Issue permits and provisional licenses",2
"405",405,"Motor Vehicle","Community","Medical and Vision Report Issuance","Test and issue medical and vision reports",2
"406",406,"Motor Vehicle","Community","Motor Vehicle Registration","Process motor vehicle registrations",2
"407",407,"Motor Vehicle","Community","Road Exams Administration","Driving capability through road exams",2
"408",408,"Motor Vehicle","Community","State Identification Issuance","Process state identification applications",2
"409",409,"Motor Vehicle","Community","Title Request Management","Formal requests for title to lien holder",3
"410",410,"Motor Vehicle","Community","Vehicle Identification Number  VIN  Inspection","Verify VINs",3
"411",411,"Motor Vehicle","Community","Vehicle Inventory Control","Compare City inventory records to the State s database",2
"412",412,"Motor Vehicle","Community","Vehicle Title Issuance and Transfer","Process vehicle title requests",3
"413",413,"Motor Vehicle","Community","Vehicle Title Registration","Register vehicles for a determined period",3
"414",414,"Motor Vehicle","Community","Citation Payment Processing","Process payment for citations issued by law enforcement and fees imposed by the Motor Vehicle Division  MVD  and Child Support Enforcement Division  CSED",2
"415",415,"Motor Vehicle","Community","License Reinstatement Processing","Process reinstatements for revoked and suspended licenses",2
"416",416,"Motor Vehicle","Community","Handicap Placard Requests","Process handicap placard requests",3
"417",417,"Motor Vehicle","Community","Voter Registration","Register residents to vote",3
"418",418,"Motor Vehicle","Community","Selective Service Registration","Register applicants for selective military service",2
"419",419,"Museum","Community","Accreditation & Affiliations","Monitor and maintain accreditation  affiliations  and memberships",2
"420",420,"Museum","Community","Digitization","Coordinates digitization of museum collections  artifacts  including photographs  artifacts  and other assets according to professional standards",2
"421",421,"Museum","Community","Education & Interpretation","Educating museum visitors through accurate interpretation of events and activities of the past",1
"422",422,"Museum","Community","Special Events","Organize and manage special events",1
"423",423,"Museum","Community","Exhibit Programing","Programming related to temporary museum exhibits intended to expand educational content",3
"424",424,"Museum","Community","Facility Rentals","Schedule and facilitate meeting space during established rental hours   Arrange for room set up  clean up  and reset",3
"425",425,"Museum","Community","Lectures","Community programs offered on a variety of topics",2
"426",426,"Museum","Community","Marketing","Marketing museum and associated programs to the larger community",2
"427",427,"Museum","Community","Museum Collections","Acquire historic artifacts for museum collections according to professional standards",2
"428",428,"Museum","Community","Museum Store","Order merchandise and merchandising aids  Track inventory and sales",3
"429",429,"Museum","Community","Museum Theatre Program","The use of theater to educate the public about important historical events",1
"430",430,"Museum","Community","Outreach","Presentations to off site groups or organizations on topics related to current museum exhibits",2
"431",431,"Museum","Community","Research Center","Research requests from the public according to professional standards",1
"432",432,"Museum","Community","School Group Visits","Schedule and coordinate group visits to the museum  staff and volunteers",2
"433",433,"Museum","Community","Signage","Maintain  repair  and replace all museum signage",2
"434",434,"Museum","Community","Summer Camps","Summer camp programming for youth",2
"435",435,"Museum","Community","Volunteers","Recruit and train museum volunteers",3
"436",436,"Open Space","Community","Agriculture Programs","Provide practical information and know how needed for agricultural producers and small acreage owners to optimize their land use potential",1
"437",437,"Open Space","Community","Forestry and  Open  Space","Tree inventory  weed population mapping  inspections and risk assessment of trees and natural resources",1
"438",438,"Open Space","Community","Code Compliance","Conduct inspections of the green open  spaces",1
"439",439,"Open Space","Community","High Use Native Vegetation Management","Management of native type grasses that experience higher than normal traffic or are considered  key  areas from an aesthetic standpoint",1
"440",440,"Open Space","Community","Land Acquisition","Acquisitions for park and trail development",2
"441",441,"Open Space","Community","Open  Space  and Trail Planning","Open  space  and trail planning",2
"442",442,"Open Space","Community","Open  Space  Maintenance","Trash removal and fence repair",1
"443",443,"Parking","Community","Parking Meter Repair & Maintenance","Repairs and routine maintenance of parking meters",2
"444",444,"Parking","Community","Parking Meter Reading","Revenue collection from  meters  and  parking  pay stations",2
"445",445,"Parking","Community","Metered  Parking","Operate and maintain  parking  meters",2
"446",446,"Parking","Community","Parking Tickets","Distribute parking tickets for violations",2
"447",447,"Parks","Community","Customer Inquiries and Assistance","Provide customer service via phone  email  and in person",1
"448",448,"Parks","Community","Marketing and Promotion","Promote parks and recreation programs and services  including preparing program brochure and monthly flyers for schools community",2
"449",449,"Parks","Community","Program Registration","Registration into Parks and Recreation  P&R  programs",1
"450",450,"Parks","Community","Adult Swim Lessons","Adult learn to swim program",4
"451",451,"Parks","Community","Children Swim Lessons","Children learn to swim program",5
"452",452,"Parks","Community","Aquatic Facility Rentals","Rental of party rooms and activity pool",2
"453",453,"Parks","Community","Lifeguards","Provide lifeguards for patron safety",2
"454",454,"Parks","Community","Recreation Swimming","Recreation swim for all ages",3
"455",455,"Parks","Community","Community Beautification Programs","Tree plantings  seedling giveaways  and landscape projects",1
"456",456,"Parks","Community","Pool Chemical Management","PH and chemical balancing of the pool",3
"457",457,"Parks","Community","Athletic Field Preparation and Maintenance","Pre practice and pre game mowing  striping  and placement of portable mounds and goals   Regular maintenance of the fields",4
"458",458,"Parks","Community","Path and Trail Maintenance","Path and trail maintenance including parking lot  trailhead and sign maintenance  and removal of deadwood",1
"459",459,"Parks","Community","Community Service Worker Management","Transportation and supervision of court appointed community service workers",1
"460",460,"Parks","Community","Dog Park Maintenance","Clean and maintain dog parks",3
"461",461,"Parks","Community","Fencing Installation and Maintenance","Install new  and maintain existing fencing at all parks and recreation centers",2
"462",462,"Parks","Community","Graffiti Removal and  Vandalism Control and Repair","Removal of graffiti and repair and replacement of park surfaces  features and equipment",2
"463",463,"Parks","Community","Ice and Snow Removal","Mechanical and chemical removal of ice and snow at parks  concrete sidewalks  and entryways of city buildings",2
"464",464,"Parks","Community","Parades and Special Event Support","Provide staff  equipment  and other resources  set up tents and mark facility booth layouts  for special events and parades throughout the year",7
"465",465,"Parks","Community","Park Access Maintenance and Improvements","Clean  maintain and update signage for parking lots  paths  sidewalks  and concrete or paved plazas",2
"466",466,"Parks","Community","Park Amenity Installation and Maintenance","Installation and maintenance of park amenities",1
"467",467,"Parks","Community","Park Lighting Maintenance","Observe light operation  schedule replacement of bulbs  lenses or other features as necessary",2
"468",468,"Parks","Community","Park Trash and Litter Removal","Removal of trash and debris at large in parks  and emptying park trash cans",2
"469",469,"Parks","Community","Park Tree and Shrub Planting and Maintenance","Plant new  and replace dead trees in parks and at some city buildings  Seasonal trimming  fertilization  and pest control of trees and shrubs in all parks",2
"470",470,"Parks","Community","Turf Management and Mowing","Manage turf in parks  including fertilization  aeration  pest control  reseeding and sod placement",6
"471",471,"Parks","Community","Park Weed Control","Eliminate existing weeds  and prevent growth of new weeds at parks and city buildings and facilities",1
"472",472,"Parks","Community","Playground Safety","Weekly inspections  third party audits  and small broken part replacement of playground equipment",1
"473",473,"Parks","Community","Youth Sports Programs","Introduces and teaches children about a variety of sports including gymnastics  flag football  martial arts  tennis and basketball",5
"474",474,"Parks","Community","Adult Sports and Fitness Programs","Provide adult sports and fitness programs",4
"475",475,"Parks","Community","Athletic Field Rentals","Rent softball  baseball  and grass fields to various sports leagues for sports and games",4
"476",476,"Parks","Community","Community Center Rentals","Community centers for citizens to rent",4
"477",477,"Parks","Community","Youth Camps","Provide all day camp programs for youth",2
"478",478,"Parks","Community","Park Rentals","Parks for citizens to rent",3
"479",479,"Parks","Community","Youth Education Programs","Provide youth life long educational programs",2
"480",480,"Parks","Community","Family Recreation Programs","Provide structured programs that allow parents and children to recreate together",1
"481",481,"Police OR Sheriff","Community","Records Management","Crime data records management system available to internal and external customers",5
"482",482,"Police OR Sheriff","Community","Crossing Guards","Help children safely cross the street at key locations during the school year",4
"483",483,"Police OR Sheriff","Community","Prisoner Escorts","Process and transport offenders  taken into custody by the court",3
"484",484,"Police OR Sheriff","Community","Calls for Service   Emergency Response","Answer calls for events that involve an immediate threat to a person or property",7
"485",485,"Police OR Sheriff","Community","Calls for Service   Non Emergency Response","Answer calls for events that may cause apprehension or fear  but no immediate harm or risk to safety is perceived",6
"486",486,"Police OR Sheriff","Community","Community Problem Solving","Use a multi agency approach to community problem solving by partnering with the community  government and non government agencies",7
"487",487,"Police OR Sheriff","Community","Crime Analysis","Utilization of various databases and mapping tools to provide timely visual information on developing crime trends",6
"488",488,"Police OR Sheriff","Community","Emergency Response Team","Team approach response to civil disorder  crowd control  major criminal events  natural and man made disasters",4
"489",489,"Police OR Sheriff","Community","Evidence and Property Management","Submit  report  and manage evidence and property",9
"490",490,"Police OR Sheriff","Community","Gang Enforcement Team","Identify and document gang members and their activities and crimes",2
"491",491,"Police OR Sheriff","Community","Narcotics Investigations","Identify drug trafficking  sales and manufacturing",5
"492",492,"Police OR Sheriff","Community","Preventative Patrol","Attempt to eliminate opportunity for misconduct through police presence in areas of expected crime",4
"493",493,"Police OR Sheriff","Community","Property Crimes Investigations","White collar  general theft  burglary  and property damage investigation",6
"494",494,"Police OR Sheriff","Community","Computer Forensic Crime Lab","Investigate crimes where a computer  or other technology  was utilized to commit the crime",7
"495",495,"Police OR Sheriff","Community","Special Victims Unit   Crimes Against Children","Investigative and support services in the area of crimes against special victims",10
"496",496,"Police OR Sheriff","Community","Special Weapons and Tactics  SWAT","A specialized team utilized in emergency situations beyond standard patrol s capabilities to reach a peaceful resolution",8
"497",497,"Police OR Sheriff","Community","Traffic Ordinance Enforcement and Crash Investigations","Investigate traffic crashes and enforce municipal ordinances and state statutes for on and off highway violations",6
"498",498,"Police OR Sheriff","Community","Violent Crimes Investigations","Respond to serious violent crimes",4
"499",499,"Police OR Sheriff","Community","K9 Team","Officers paired with trained police dogs for patrol purposes",9
"500",500,"Police OR Sheriff","Community","Professional Standards","Internal unit assigned to investigate standard operating procedure violations",4
"501",501,"Police OR Sheriff","Community","School Resource Officers  SRO","Specialized officers assigned to schools to deal with issues involving students",8
"502",502,"Police OR Sheriff","Community","911 Communications   Emergency Dispatch","Dispatch all public safety emergency calls for service",6
"503",503,"Police OR Sheriff","Community","911 Communications   Call Taking","Answer all public safety emergency calls for service",3
"504",504,"Police OR Sheriff","Community","911 Communications   Non Emergency Calls","Answer and dispatch all public safety non emergency related calls for service",4
"505",505,"Police OR Sheriff","Community","Honor Guard Program","Perform ceremonial events that require the United States flag  as well as funerals and services",5
"506",506,"Police OR Sheriff","Community","Quartermaster Program","Secure  order  and assign department property",4
"507",507,"Police OR Sheriff","Community","Reserve Officer Program","Certified officers and reserve trained officers who volunteer their time to augment the department in logistic  technical  and patrol functions",3
"508",508,"Police OR Sheriff","Community","Truancy Program","Locate juveniles not attending classes during the school year",3
"509",509,"Police OR Sheriff","Community","Walk in Reports","Assist citizens in filing criminal incident and crash reports that may be delayed or minor in nature",4
"510",510,"Police OR Sheriff","Community","Training","Training and maintenance of certifications",8
"511",511,"Police OR Sheriff","Community","Cadet Academy","Teach individuals how to become a police officer  including necessary certification skills for commission",4
"512",512,"Police OR Sheriff","Community","Recruiting","Recruit cadets and laterals",5
"513",513,"Police OR Sheriff","Community","Prisoner Transport and Extradition","Transportation of prisoners to and from court and secure facilities",5
"514",514,"Police OR Sheriff","Community","Carry & Conceal   Gun Permitting","Process applications and complete required background checks to issue or deny permits to purchase and permits to carry",4
"515",515,"Police OR Sheriff","Community","Case Reports","Process and maintain all case reports  and release reports to appropriate agencies",3
"516",516,"Police OR Sheriff","Community","Citizen Ride Along","Citizen ride along program with a patrol deputy",5
"517",517,"Police OR Sheriff","Community","Civil Process Service","Deputies serve civil papers for county courts  public civil processes",2
"518",518,"Police OR Sheriff","Community","Cold Case Investigations","Re evaluates cases of previously unsolved major crimes",3
"519",519,"Police OR Sheriff","Community","Crisis Negotiations","Facilitation of peaceful resolutions to crisis situations",4
"520",520,"Police OR Sheriff","Community","Fingerprinting","Start fingerprint process for employment  court orders  adoptions  explosive permits",5
"521",521,"Police OR Sheriff","Community","Mounted Patrol","Perform a variety of public events and duties assigned by the  sheriff on a horse",4
"522",522,"Police OR Sheriff","Community","Offender Registration","Register and data entry for new and existing registered offenders",7
"523",523,"Police OR Sheriff","Community","Warrant Execution","Actively search for wanted individuals",5
"524",524,"Public Transit","Community","Transit Service","Transit services within city limits",2
"525",525,"Public Transit","Community","Ticket Sales","Sell ticket and passes at various concession locations",2
"526",526,"Public Transit","Community","Transit  Driver Training and Certification","Initial hire  training  and certification",2
"527",527,"Public Transit","Community","Transit  Facilities Cleaning","Clean transit stations and stops",3
"528",528,"Public Transit","Community","Transit  Facility Building Maintenance","Maintenance of all  transit  facility buildings",2
"529",529,"Public Transit","Community","Transit  Facility Grounds Maintenance","Maintenance of all  transit  facility grounds",2
"530",530,"Public Transit","Community","Transit  Marketing","Bus wraps  newspaper  radio spots & magazine advertisements",2
"531",531,"Public Transit","Community","Transit  Planning Programs & Management","Create route schedules  and rider guides",2
"532",532,"Public Transit","Community","Transit Vehicle Maintenance","Manage the maintenance and repairs of  vehicles to ensure compliance",2
"533",533,"Public Transit","Community","Transit Vehicle Cleaning","Vehicle exteriors are cleaned and the interiors are sanitized",2
"534",534,"Public Transit","Community","Vehicle Accident Investigation","On scene investigation of all vehicle accidents",2
"535",535,"Public Works","Governance","Building Cosmetics","Repair  Clean  and Paint Interior and exterior Buildings as well as Parking lots",3
"536",536,"Public Works","Governance","Building Electrical Repair Systems","Change Light Tubes  Bulbs  Replace Ballasts  Receptacles  Pumps  etc",3
"537",537,"Public Works","Governance","City Facility Access Control Management","Provide equipment and employee identification badges for access to city facilities",4
