"","key","Key_RX_ProgID","Curr_RX_ProgID","RX_ProgName","RX_ProgDescription","DatabaseName","Org","ProgID","ProgName","ProgDescription","Lat","Long","Pop"
"568","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",535,"Records","The Colorado Bureau of Investigation (CBI) is statutorily required to maintain a central, statewide, Colorado Crime Information Computer system (CCIC) and each Colorado law enforcement agency using the State’s computer system is required to appoint a CCIC Coordinator to provide local system administration, user training & support, oversee initial and bi-annual user certification testing, and ensure the lawful and legitimate use of the State and National Crime Information Computer systems (CCIC/NCIC) by the department. Fulfills the responsibility of the Local Agency Security Officer (LASO) to ensure Longmont’s compliance with CBI and FBI policies and procedures regarding use and access to the State and National computer systems, compliance with the requirements for restricting unauthorized access, and compliance with timely & accurate entry, modification or cancellation of a variety of police records. A few examples are wanted persons, missing persons, stolen property and recovered property. The Colorado Crime Information Center (CCIC) and the National Crime Information Center (NCIC), as set up by the Colorado Bureau of Investigation (CBI) and Federal Bureau of Investigation (FBI), are computerized indexes of criminal justice information concerning crimes, persons, vehicles and property of interest on a statewide and nationwide basis. Advanced level users of these computer systems and insure that Longmont criminal justice information is entered, verified, updated, and canceled in compliance with CBI and FBI policies and procedures. Responsible for training all new users of the CCIC and NCIC systems. Courts entertain motions to seal and expunge criminal justice records whereupon the Records Unit is notified of the pending hearing. Records personnel, in turn, disseminate the hearing notification to police personnel should there be a need to raise an objection at the hearing. Following a hearing where a court order is issued to seal or expunge a record for a Longmont investigation, the order is processed by the Records Unit and all necessary steps are taken to seal or expunge the records outlined in the court order. Coordinate the development, approval, and compliance with public safety retention schedules. Ensures the compliance with the Federal Freedom of Information Act and Colorado Revised Statute (CRS) 24-72 part 3 by providing a central point of contact for requests for criminal justice records by other law enforcement agencies, prosecution offices, insurance companies or from the general public. Requests can be for criminal histories, police reports, accident reports, address activity reports, sex offender lists or a variety of other reports and information. Records release sometimes results in challenges to the accuracy of criminal justice records which is then investigated by the Records Unit with corrections made if warranted. Fees are charged for the release of records to private parties and insurance companies. After initial sex offender registration paperwork has been completed by the Report Taker Unit, personnel assigned to the Records Unit are responsible for entering sex offenders into the Colorado Sex Offender Registry as required by law. Insures that registrant information is updated or cleared when a registrant updates information or relocates outside the city limits of Longmont. Responsible for tracking sex offender registration fees when the registrant is unable to pay at the time of registration. If agreements to pay later are not honored, the unit supervisor sends billing information to Accounts Receivable. Registrants pay registration and re-registration fees. Colorado Revised Statute 24-33.5-412(5) requires law enforcement agencies to provide information to the Colorado Bureau of Investigation (CBI) in the form of monthly Uniform Crime Reports (UCR) using the National Incident Based Reporting (NIBRS) format. Responsible for ensuring that Longmont’s UCR records are complete, timely, accurate and in the format required by the State. In addition, Fire Services incident records are submitted to the appropriate State agency for National Fire Information System (NIFIRS) purposes. Oversee and manage access, use, reporting, sharing, and the integration with and protection of public safety data.","40.1672","-105.1019",94341
"541","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",463,"Wildland Fire Training and Response","Wildland Response is a primary function of the Fire Services Division. Specially trained firefighters, in collateral assignments, make up the Wildland Response Team.  They supplement local resources by responding to fires outside of a building; including open field wind driven fires, wildland/urban interface fires and mountain terrain fires. While local resources have a basic level of training in wildland fire response, these incidents are resource intensive and call for a much higher level of training and certification. The Wildland Team has a significant source of revenue through cost recovery for the city and has improved the overall health of the Division through the purchase of vehicles, equipment and personal protective clothing.","40.1672","-105.1019",94341
"574","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",539,"Logistics","Acquisition, maintenance, repair, and physical security of all department facilities to include, but not limited to, the Safety & Justice Center, six Fire Stations, Firing Range, Longmont Training Center, etc. Management of service contracts and upgrades/renovations to Public Safety facilities. Responsible for security clearances of external vendors working in Public Safety facilities. Develop, maintain, and manage system for recognizing, tracking, and recording maintenance needs of all department facilities. Develop and maintain various department contracts and IGAs as needed, i.e. LEU contract, Humane Society contract, Greenwood Wildlife contract, Mental Health Partners contract, etc. Research, development, acquisition, and repair facilitation of all department vehicles. Develop, maintain, and manage system for recognizing, tracking, and recording maintenance needs of all vehicles. Manage and track E470 usage by department vehicles. Research, development, acquisition, and repair facilitation of personnel protective equipment. Develop, maintain, and manage system for recognizing, tracking, and recording maintenance needs of department personal protective equipment. Liaison with multiple external vendors as necessary.","40.1672","-105.1019",94341
"535","vehicle","209",79,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",331,"Nuisance Codes Enforcement","Enforce nuisance and zoning codes to include junked and abandoned vehicles on private and public property; parking violations and towing of abandoned or junked vehicles from public property; accumulations of junk and debris on private and public property; obstructions of public rights-of-way; dead/diseased/dying trees; sign code regulations, application review and permitting; home occupations; outdoor lighting; graffiti; State and City mandated (C.R.S. § 35-5.5-101 et seq. & L.M.C. 9.32) enforcement of Type A, B and C noxious weeds; State and City mandated (C.R.S. 25-14 & L.M.C. 9.40) enforcement of the Colorado Clean Indoor Air Act and smoking generally prohibited in certain places; State and City mandated (C.R.S 25-7-106.3 & L.M.C. 16.44) enforcement of wood burning devices and no-burn days; regulation of medical and recreational marijuana.","40.1672","-105.1019",94341
"589","vehicle","209",574,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",624,"Transportation Maintenance and Repair","This service includes the operations related to the safe movement of traffic and the associated infrastructure maintenance.  Related operations include compliance activities and reporting, planning and procedure development, preventative and corrective maintenance, etc. This service also responds to winter storms to remove snow and ice to ensure safe travel on roads.  The service also maintains and updates a snow plan and deploys an Automated Vehicle Location technology to track plowing activities","40.1672","-105.1019",94341
"586","vehicle","209",574,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",550,"Transportation Maintenance and Repair","This service includes the operations related to the safe movement of traffic and the associated infrastructure maintenance.  Related operations include compliance activities and reporting, planning and procedure development, preventative and corrective maintenance, etc. This service also responds to winter storms to remove snow and ice to ensure safe travel on roads.  The service also maintains and updates a snow plan and deploys an Automated Vehicle Location technology to track plowing activities","40.1672","-105.1019",94341
"565","vehicle","209",497,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",505,"Special Operations - Traffic Unit","Traffic Unit provides proactive, coactive and reactive services by teaching Drivers Education in the St Vrain Valley Schools; participate in community events; teach in both Citizen and Student Police Academies; teach traffic, DUI and speed enforcement to department members; teach traffic education programs to City Departments; teach and assist citizens with proper Child Seat placement; proactively enforce traffic laws; proactively inspect and enforce commercial motor vehicles for safety and overweight violations; DUI enforcement program; safety belt enforcement programs; and manage and conduct abandoned vehicle enforcement.  Members of the traffic unit are on-call, respond to and investigate serious injury and fatal accidents.  Utilizing their specialized training and experience members of the traffic unit assist other sections of the department as well as other agencies who do not have the same level of expertise. DUI, high visibility enforcement and seat belt enforcement grants are requested and managed yearly.","40.1672","-105.1019",94341
"583","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",548,"Information Technology","Provides support and coordination for department issued cellular phones, smartphones, and tablets along with their accompanying service plans. Product & service research, purchasing, distribution, tracking, inventory, vendor interaction, warranty issues & replacement, and handling all billing & invoicing matters. Cost recovery occurs when old devices are sold or exchanged for credit when new devices are obtained. Provides system administration for public safety specific applications such as the automated fingerprint and mugshot systems, police and fire records management systems, automated crime and traffic accident reporting systems, E-ticketing system and other hosted and owned databases. From these various systems and databases, the Public Safety IT manager provides customized reports to administrators as well as internal and external customers. Provide Tier 1-4 IT support for City employees in the Safety and Justice building and public safety employees at six fire stations, five police sub-stations (including the Range) and computer equipment in police and fire vehicles. Public Safety tech personnel are on-call after hours to provide emergency IT support. Coordinates the research, budgeting, implementation and maintenance of public safety information systems and technology. Works with City ETS staff to coordinate implementation of public safety IT projects to ensure compliance with City standards.","40.1672","-105.1019",94341
"595","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",1022,"Accidents","This is the management and reporting of all vehicle accidents. This is done in conjunction with Risk Management between their database and our Faster database.  Accidents are reported and myself or Cash Johns respond. The determination is made if damage is over $1,000 requiring a drug test. Next it is determined if the vehicle is a total loss or can be repaired.  Next the vehicle is towed or taken for estimate. Fleet authorizes the repair, the repair is completed and fleet pays for the repair and all associated expenses. Fleet then completes damage reports for Risk and receives reimbursement from the loss Fund. If the vehicle is a total loss we move straight to replacement protocols and work through that with Risk. We segregate this process from our normal work order process. It is in the database but stands alone.","40.1672","-105.1019",94341
"559","vehicle","209",493,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",493,"Property Crimes","Detectives are responsible for the continued investigation of felony criminal cases and more complex misdemeanor cases. Detectives from the Property Unit are assigned to investigate residential and commercial burglaries, auto thefts, pawn violations, criminal trespass to vehicles, extensive criminal mischief cases and complex internal business thefts.   They also investigate property sold at pawn stores or posted for sale on internet resale sites such as Craig’s List and EBay.","40.1672","-105.1019",94341
"604","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",1026,"Database Management","This is also known as our Faster database. This is administered by the Fleet Analyst. The database includes multiple applets  such as vehicle inventory or master, work orders, parts, parts inventory,  fuel, reports, system settings, shop floor manager, technician accountability, work in progress etc. This is the heart of our operation and all we do reports back to Faster to collect and collate the data for reporting and billing. It requires constant attention and update.","40.1672","-105.1019",94341
"529","vehicle","209",365,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",2,"Non-Traffic Violations","Prosecutors office tries cases in municipal court for violations of the municipal code.   Examples of this would be small time theft, underage drinking, noise violations, zoning violations, junk and abandoned vehicles.","40.1672","-105.1019",94341
"544","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",464,"Wildland Fire Training and Response","Wildland Response is a primary function of the Fire Services Division. Specially trained firefighters, in collateral assignments, make up the Wildland Response Team.  They supplement local resources by responding to fires outside of a building; including open field wind driven fires, wildland/urban interface fires and mountain terrain fires. While local resources have a basic level of training in wildland fire response, these incidents are resource intensive and call for a much higher level of training and certification. The Wildland Team has a significant source of revenue through cost recovery for the city and has improved the overall health of the Division through the purchase of vehicles, equipment and personal protective clothing.","40.1672","-105.1019",94341
"553","vehicle","209",499,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",484,"K-9","The Police K-9 Program consists of two teams, each of which is comprised of an Officer/Handler and a K-9.  These two teams are responsible for handling Emergency, Immediate, and Routine calls for service. In addition to handling calls for service, K-9 officers regularly conduct tracking operations for missing or wanted persons; area searches for missing weapons or contraband; drug detection involving persons, vehicles or buildings; security operations to apprehend dangerous criminals; assistance to outside agencies; and K-9 demonstrations for public education and outreach.","40.1672","-105.1019",94341
"598","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",1024,"Building and infrastructure Management","This is all that is required to maintain and repair our building facilities and equipment. This also includes all CIP projects and their administration, budgeting and completion. This also includes all portable and stationary shop equipment purchases and repairs to support our vehicle operations.","40.1672","-105.1019",94341
"610","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",1030,"Parts Management","This is related to the previous but stands alone in that we establish policy for how parts and our inventory are to be managed in our Faster database. An example would be obsolescence management. At least twice a year obsolescence reports are run to determine turns on our stock parts. If there are low turns on inventory or low turns due to no longer having vehicles for these parts they are sold off or returned to vendors for credit. This is where we also establish internal checks and balances as how we manage the inventory and security of the same.","40.1672","-105.1019",94341
"616","vehicle","209",210,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",1033,"Vehicle Infrastructure Management","This is the management of the actual vehicle inventory of vehicles. This is primarily done from our Faster database. We manage all critical vehicle history, vehicle accounts, warranties, costs, account assignments and reassignments, purchase and salvage information. This is primarily done by the Fleet Analyst. This is the management of all vehicle assets from cradle to grave and any expense they incur along the way. Emissions, registrations and titling of vehicles and their accounts can be associated with this.","40.1672","-105.1019",94341
"547","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",480,"Special Operations - Extra Duty Employment Program","The Special Operations Commander and Special Operations Administrative Assistant manage the Extra Duty Employment Program.  This program affords other City departments and private entities the ability to hire Police and Community Service Officers (CSO) in their official capacity to work details such as athletic events, security assignments, traffic control, and other assignments on a contract basis.  This program serves to increase community interactions with the police as well as promote public safety during these events to assure a safe environment for attendees.  The entity utilizing this program is responsible for paying the employee's overtime costs, vehicle usage costs plus an administrative fee.  The administrate fee is not charged to other City departments.","40.1672","-105.1019",94341
"550","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",481,"Special Operations - Extra Duty Employment Program","The Special Operations Commander and Special Operations Administrative Assistant manage the Extra Duty Employment Program.  This program affords other City departments and private entities the ability to hire Police and Community Service Officers (CSO) in their official capacity to work details such as athletic events, security assignments, traffic control, and other assignments on a contract basis.  This program serves to increase community interactions with the police as well as promote public safety during these events to assure a safe environment for attendees.  The entity utilizing this program is responsible for paying the employee's overtime costs, vehicle usage costs plus an administrative fee.  The administrate fee is not charged to other City departments.","40.1672","-105.1019",94341
"577","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",540,"Logistics","Acquisition, maintenance, repair, and physical security of all department facilities to include, but not limited to, the Safety & Justice Center, six Fire Stations, Firing Range, Longmont Training Center, etc. Management of service contracts and upgrades/renovations to Public Safety facilities. Responsible for security clearances of external vendors working in Public Safety facilities. Develop, maintain, and manage system for recognizing, tracking, and recording maintenance needs of all department facilities. Develop and maintain various department contracts and IGAs as needed, i.e. LEU contract, Humane Society contract, Greenwood Wildlife contract, Mental Health Partners contract, etc. Research, development, acquisition, and repair facilitation of all department vehicles. Develop, maintain, and manage system for recognizing, tracking, and recording maintenance needs of all vehicles. Manage and track E470 usage by department vehicles. Research, development, acquisition, and repair facilitation of personnel protective equipment. Develop, maintain, and manage system for recognizing, tracking, and recording maintenance needs of department personal protective equipment. Liaison with multiple external vendors as necessary.","40.1672","-105.1019",94341
"538","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",371,"Electric Vehicle Infrastructure","Replace fleet vehicles with electric vehicles where appropriate and provide public electric vehicle charging stations.","40.1672","-105.1019",94341
"601","vehicle","209",208,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",1025,"Compressed Natural Gas (CNG) Fueling Management","This last year we partnered with a private company to start up and operate a CNG fueling facility at the Service Center. This system stands alone from our fueling systems mentioned above. This system provides CNG to both the City, other non-profits and the public. All billing is managed through our partner and must be reconciled separately. In addition to the above, for 2018 we will add eleven CNG refuse vehicles to be fueled from biofuels from our wastewater treatment plant. A new fueling facility will be constructed to support these vehicles and future vehicles will be added when they are eventually replaced. This will be a partnership with PW&NR and Sanitation.","40.1672","-105.1019",94341
"607","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",1027,"Federal and State Regulatory Reporting","This all the regulatory reporting we are required to do by law. It is the assembly and collation of data required for these reports. Some but not all are Alternative Fueled vehicle reports, State and Federal fuel reporting, Emissions titling and registrations reporting and grant reporting.","40.1672","-105.1019",94341
"532","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_LongmontCO","Longmont",285,"Pool Cars","This program includes the costs to provide pool vehicles which are used for City business primarily by Civic Center and DSC employees, but are available as well to other services without access to assigned city vehicles.","40.1672","-105.1019",94341
"641","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",411,"Patrol Operations (Non Emergency)","Enforcement of all State Motor Vehicle Laws (criminal & civil),  preliminary investigation of property crimes & crimes against persons, response to civil disputes and aid to citizens, investigation of traffic crashes, service of legal papers, inmate supervision through Electronic Monitor, general patrol and deterrence,",NA,NA,NA
"627","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",267,"WINTER SNOW PLOWING & CHEMICAL APPLICATION - COUNTY","Plow snow apply agents during precipitation event. Load salt into trucks, apply abrasives and assist emergency vehicles during storm event.  Assist emergency vehicles during non-storm time for winter related activities. Storm-related clean-up of intersections, drift control, winging/benching. Respond to refreeze of chemicals on pavement. Apply abrasives after storm events. Address areas of icing.",NA,NA,NA
"629","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",270,"WINTER SNOW PLOWING & CHEMICAL APPLICATION - STATE","Plow snow apply agents during precipitation event. Load salt into trucks, apply abrasives and assist emergency vehicles during storm event.  Assist emergency vehicles during non-storm time for winter related activities. Storm-related clean-up of intersections, drift control, winging/benching. Respond to refreeze of chemicals on pavement. Apply abrasives after storm events. Address areas of icing.  (§84.07, with contract from State.)",NA,NA,NA
"631","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",272,"Active Disposal Operations-Bluebird Ridge","Receive waste-compact waste-push waste-build lifts-cover waste (daily, side slope, intermediate)- build interior roads-assist customers-follow lift schedule and GPS track work-manage stockpiles-scrape out impacted loads-pull vehicles in/out when necessary-maintain order",NA,NA,NA
"655","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",720,"VEHICLE & EQUIPMENT PURCHASING & RENTAL","Determine Highway Dept. needs for equipment and vehicles, develop bid specs, obtain quotes/bids as appropriate, facilitate purchase including title acquisition.",NA,NA,NA
"647","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",472,"Vehicle Maintenance","Maintenance and repair of all airport owned vehicles.",NA,NA,NA
"657","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",721,"Fuel Management Programs","Order, track, invoice and maintain records as required by state and federal agencies for delivery and use of fuel for all Highway Dept. vehicles and equipment.",NA,NA,NA
"635","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",368,"Vehicle Repair and Maintenance","Repair in shop of vehicles due to malfunction or damage.  Scheduling, pick up and delivery of fleet vehicles and equipment undergoing warranty or repair service through local dealers.  Annual tear down of existing squads and setup of replacement squads and sub-contracting of some vehicles for this service.  Scheduled and routine maintenance of fleet vehicles such as oil changes, brake replacements, etc.  Maintaining shop inventory, equipment and supplies.",NA,NA,NA
"649","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",505,"Mid-size Vehicle Maintenance","Park maintenance specialist's service, maintain and repair one ton trucks, pickup trucks, passenger vehicles, brush chippers, skid steers, trailers, and all associated attachments.",NA,NA,NA
"653","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",579,"Operating a Motor Vehicle While Intoxicated Prosecutions","Preparation of criminal complaints for OWI related offenses; as well as motions and briefs when needed , prosecution of OWI  cases, participate in OWI Court",NA,NA,NA
"625","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",63,"Emergency Response Team - Hazardous Materials","Helps assure the capabilities and readiness of a ""Level B"" hazardous materials response team that responds locally and, in other counties when requested. Administer related grants, programs and training as needed. Responds with the team to hazardous material emergencies within coverage area. Ensures the emergency response team has the tools, equipment, and vehicles it needs and that they are inspected and maintained appropriately. S.S. 323.61 (2m) (e).",NA,NA,NA
"639","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",406,"Dive Team","Multi-jurisdictional team responsible for body search and recovery, surface rescue, underwater crime scene investigation, underwater vehicle/object salvage.",NA,NA,NA
"637","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",403,"Commercial Motor Vehicle Enforcement","Commercial motor vehicle enforcement.",NA,NA,NA
"643","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",415,"Unmanned Aerial Vehicle (UAV)","Aerial support for incidents involving missing persons, lost hunters and or hikers, narcotics investigations (surveillance).",NA,NA,NA
"651","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",564,"Civil Drug Forfeiture Litigation","Preparation of documents for drug civil forfeiture actions, such as vehicle seizures.",NA,NA,NA
"645","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",436,"Wisconsin Drivers License Veterans Identifier Program","Help eligible veterans apply to Wisconsin Division of Motor Vehicles to have ""Veteran"" added to their drivers license.",NA,NA,NA
"633","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",357,"Temporary License Plate Issuance","Issue Department of Motor Vehicle License Plates and maintain records.",NA,NA,NA
"659","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_Marathon_copy3","Marathon County",778,"County Vehicle Title Management","Keep and maintain all County owned vehicle titles; sign off on titles of vehicles being disposed of.",NA,NA,NA
"675","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",677,"Road and Bridge Vehicle Repair and Maintenance","Repair and maintain highway vehicles.","40.6138","-108.2378",13000
"669","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",373,"ADMINISTRATIVE - Social Services Administration","Salary and fringe for administrative costs from CDHS, HCPF and Adult Protection. Vehicle maintenance, staff appreciation, etc.","40.6138","-108.2378",13000
"664","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",81,"Motor Vehicle Registration","Issuance and renewal of license plates on all motor vehicle types. Process Online renewals and mail to customer. Process title and registration on special mobile equipment and 2% rentals.","40.6138","-108.2378",13000
"673","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",673,"County-Wide Vehicle Repair and Maintenance","Repair and maintain vehicles for Landfill, Sheriff, Ambulance, Search and Rescue, and other county departments.","40.6138","-108.2378",13000
"662","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",79,"Motor Vehicle - Customer Service","Answer all calls from Customers, Car Dealerships, Banks, etc. regarding the registration of vehicles, titles and sales tax information. Mail and email communications with customers, lenders, dealers, government entities. Legislation review and implementation","40.6138","-108.2378",13000
"663","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",80,"Motor Vehicle Penalty Assessment and Collection","Assess and collect late fees and insurance penalties on motor vehicle license registrations.","40.6138","-108.2378",13000
"679","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",749,"Crimes Against Property Investigations","Investigate crime that includes, among other crimes, burglary, larceny, theft, motor vehicle theft, arson, shoplifting, and vandalism, etc.","40.6138","-108.2378",13000
"665","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",82,"ADMINISTRATIVE - Motor Vehicle Bookkeeping","Daily and monthly accounting of motor vehicle and recording transactions. Update and balance of Fee Book, Disbursements, MV Quarterly Report, Sales, tax, summary. Process all payments and deposits. Issue warrants and checks to  State Treasurer and jurisdictions.","40.6138","-108.2378",13000
"666","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",197,"County-Wide Purchasing and Procurement","County Wide Procurement of Capital items (over $5000) for all departments except Road and Bridge.  Includes vehicle and Equipment replacement.  Includes liquidating surplus property and equipment","40.6138","-108.2378",13000
"672","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",672,"County-wide Equipment Repair and Maintenance","Repair and maintain off-road vehicles and equipment for other county departments.","40.6138","-108.2378",13000
"668","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",305,"Vehicle and Equipment Maintenance","Basic maintenance on vehicles and small equipment.","40.6138","-108.2378",13000
"680","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",773,"Vehicle Identification Number Verification (a)","VIN verification","40.6138","-108.2378",13000
"670","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",645,"Fleet Management","Management of road and bridge department vehicles.","40.6138","-108.2378",13000
"674","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",674,"County-wide Welding and Fabrication","Construct prisoner cages in sheriff vehicles,  weld for ant other county departments as needed.","40.6138","-108.2378",13000
"661","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",78,"Document Management and Retention","Scan deposits, reports, title complete cards, manufactured homes, liens, business authorizations, End of Month. Manage and control all inventory of plates, tabs, title and government vehicle registrations, titles, payment, manage state reports","40.6138","-108.2378",13000
"684","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",864,"ADMINISTRATIVE - Fleet Management","Vehicle acquisitions, transfers and surplus auction preparation.","40.6138","-108.2378",13000
"678","vehicle","209",499,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",740,"Canine Unit","Use trained & certified canines to help deputies locate illegal narcotics. Also used to locate humans hiding in vehicles, building and open areas.","40.6138","-108.2378",13000
"682","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",833,"Specific Ownership","The distribution of Vehicle ownership taxes to the proper entities CRS 42-3-107","40.6138","-108.2378",13000
"671","vehicle","209",NA,"City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles","RX_MoffatCountyCO","Moffat County",648,"Inspections","Utility inspections, right of way inspections, gravel pit inspections, DOT inspections on Road and Bridge vehicles.","40.6138","-108.2378",13000
